Key	Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
11	500	0.3645388	0.300167	0.558352	0.3301648	0.621563	0.0516657	0.6286811	0.5314684	0.0603065	0.137483	0.0436493	0.2388478	5.26e-05	0.1235082	0.0002713	0.042386	0.3430799	0.0758633	0.002124	0.0011693	0.07415	0.5618832	0.5843539	0.4110902	0.3082898	0.5185305	0.3408225	0.1388193	0.6560393	0.3481184	0.13868	0.0233512	0.2586513	0.1090088	0.5836732	0.6652625	0.0189761	0.0882687	0.0495602	0.7034134	0.3146207	0.5456283	0.3814676	0.2921664	0.6284655	0.0939639	0.0377354	0.0230494	0.1289687	0.2156511	0.3795097	0.1423498	0.1291326	0.1844463	0.4692815	0.7484489	0.7066676	0.3899474	0.0631162	0.1309338	0.0131719	0.5350256	0.7025936	0.3008975	0.3339309	0.4769677	0.3817499	0.5089619	0.1050348	3.2e-05	0.5763361	0.1810277	0.3458827	0.5467079	0.5412801	0.2800222	0.2674517	0.1209746	0.1704826	0.0053539	0.4871133	0.2089116	0.5731455	0.3456972	0.6328038	0.0711744	0.103122	0.066597	0.60854	0.5836443	0.6994213	0.3257103	0.6584181	0.4041835	0.6218087	0.6723836	0.2725424	0.6697166	0.6578568	0.6721797
12	550	0.4264745	0.3623997	0.6289849	0.5617391	0.6179236	0.0317647	0.6697017	0.5840675	0.0562207	0.2602138	0.0046248	0.3363429	0.0318946	0.0549798	0.0061346	0.0672502	0.3717948	0.2384457	0.0181942	0.0013385	0.0536879	0.3635218	0.5603842	0.5825429	0.1825133	0.6562873	0.4124806	0.2498444	0.6208944	0.3868708	0.1209318	0.0064835	0.2632791	0.1015828	0.6970997	0.7286175	0.2011411	0.0872647	0.0692942	0.6721805	0.136308	0.6115305	0.6481512	0.2564252	0.4933434	0.5541488	0.1679455	0.0703883	0.1470357	0.1684174	0.4385196	0.3887876	0.0694114	0.2760438	0.5874766	0.6250786	0.6919322	0.3783278	0.1285644	0.1931775	0.1149029	0.4630942	0.577148	0.4799906	0.3163602	0.443544	0.6816681	0.6496038	0.1532255	0.0100305	0.5889291	0.5448902	0.4595869	0.6554689	0.415996	0.2808705	0.3584963	0.1227995	0.1915809	0.0224866	0.4289873	0.1011489	0.6590854	0.2526775	0.6156379	0.213725	0.1482769	0.0350802	0.6453639	0.561184	0.7412893	0.4591464	0.5682534	0.3993323	0.5130791	0.6799166	0.1769263	0.6525513	0.6169554	0.5935052
13	600	0.4085584	0.3647289	0.5097579	0.5424981	0.6329147	0.0440549	0.6173493	0.5635235	0.0181785	0.3584494	0.0111456	0.4245107	0.0315138	0.0275613	0.0056708	0.0915057	0.3655208	0.3934529	0.0899915	0.0059725	0.0562493	0.3408804	0.3650788	0.4686861	0.1291646	0.5655374	0.4781637	0.3831696	0.4166268	0.4088311	0.1043525	0.0124714	0.2011649	0.0899952	0.6042835	0.5693199	0.5718693	0.0951312	0.0483261	0.6492961	0.0648134	0.5540851	0.6535349	0.3946219	0.5350828	0.6333066	0.454248	0.2109004	0.226498	0.1907261	0.5122522	0.4766391	0.1804573	0.2430778	0.5286038	0.3502785	0.4139635	0.2565133	0.121733	0.3509266	0.106177	0.3139877	0.610913	0.4447799	0.3167978	0.377637	0.4867482	0.5954927	0.1998703	0.0342582	0.3874603	0.1642146	0.1708879	0.5725708	0.5718901	0.1868826	0.348819	0.0971641	0.1682516	0.0164551	0.4110293	0.1238961	0.7208801	0.1675383	0.5440257	0.2610551	0.1379922	0.0611063	0.6292314	0.5479035	0.6187932	0.3932584	0.6572912	0.4046376	0.4595573	0.6516893	0.2765135	0.6263569	0.5705483	0.6355363
14	650	0.3168107	0.2334628	0.6415709	0.4697134	0.6335372	0.0321983	0.6130352	0.5002886	0.0038899	0.3792774	0.0240457	0.3376267	0.0515447	0.0292045	0.0078067	0.0830296	0.3794401	0.3931185	0.0578677	0.0499186	0.0499814	0.1772822	0.3747765	0.3890685	0.1020852	0.6494871	0.4523173	0.3146196	0.225257	0.4659772	0.1304461	0.0072943	0.1908584	0.1193593	0.6985344	0.5968132	0.4956611	0.0807335	0.0766281	0.6417952	0.034039	0.5103759	0.5962481	0.4201071	0.6220248	0.5896166	0.6106023	0.4296902	0.405155	0.1480676	0.584558	0.4474173	0.2885185	0.2898784	0.4178269	0.350064	0.3426488	0.2251784	0.1143605	0.2639506	0.062782	0.2331373	0.5224005	0.3912826	0.2837037	0.4428656	0.376452	0.5741462	0.2972643	0.0226685	0.2567576	0.0764518	0.1243329	0.3320912	0.4281806	0.2745957	0.3389881	0.0942962	0.1346668	0.0189575	0.3730563	0.0730249	0.5714854	0.2171467	0.5835802	0.2639263	0.1661278	0.0629072	0.578987	0.5988453	0.6426436	0.4464332	0.6862221	0.402978	0.4254256	0.4992647	0.2521014	0.5731834	0.5272362	0.5902429
15	700	0.1574813	0.3731293	0.5249206	0.4657463	0.6649462	0.0333684	0.5002572	0.5013013	0.0168062	0.3987705	0.009807	0.3048511	0.0549402	0.0214133	0.0097669	0.1601062	0.396623	0.4185764	0.0454182	0.0052115	0.0573129	0.2229469	0.3531452	0.425912	0.0930698	0.5715532	0.4497479	0.3672806	0.1622961	0.4443396	0.1366078	0.0175307	0.1900246	0.0849507	0.731034	0.6908132	0.5759138	0.0997953	0.0558631	0.4826086	0.0512899	0.6065508	0.675914	0.4490634	0.5974057	0.689645	0.5358419	0.5153639	0.3852925	0.1599448	0.5781877	0.5878391	0.3554086	0.2854865	0.4601222	0.3741918	0.4118409	0.2332778	0.078277	0.319169	0.0454938	0.3157171	0.555647	0.4012659	0.50898	0.5230923	0.4089689	0.4577756	0.4813185	0.0343185	0.1791665	0.021826	0.0384309	0.2172791	0.3656467	0.3463878	0.2015441	0.1214328	0.1858695	0.0098468	0.3422147	0.1130706	0.4901962	0.1784156	0.5593281	0.2173185	0.133637	0.0415121	0.3564761	0.6391761	0.5670591	0.4205057	0.6604193	0.3178911	0.4861947	0.5639614	0.28242	0.6295441	0.48567	0.724232
16	750	0.1581897	0.2331037	0.6419256	0.5080043	0.5847335	0.0330671	0.6958999	0.4758639	0.0052136	0.357291	0.014842	0.3184317	0.0322655	0.0228821	0.0094914	0.0880171	0.3332325	0.4455912	0.04983	0.0168129	0.0382766	0.1842748	0.2921706	0.3941607	0.1622005	0.6301	0.4680731	0.4391357	0.1915646	0.4269263	0.2650464	0.0172053	0.1544621	0.1438781	0.5948803	0.6075476	0.5626326	0.0656113	0.0446039	0.6249725	0.0435031	0.6246604	0.6009241	0.4592746	0.6996062	0.4929274	0.5530231	0.4826683	0.2644485	0.1277065	0.6968174	0.620525	0.2750068	0.2531386	0.4666764	0.4250565	0.3176185	0.2670325	0.0761374	0.2406296	0.0038898	0.3269337	0.5769514	0.4824355	0.4440297	0.4282369	0.4272118	0.5226348	0.4503871	0.0378565	0.1639242	0.0077954	0.0496366	0.132021	0.3350398	0.4607007	0.0866346	0.1059357	0.1579916	0.0447768	0.4114002	0.0924328	0.5151159	0.2428459	0.5321895	0.1826263	0.1102086	0.0931265	0.1719147	0.6425785	0.6099396	0.4893405	0.4723741	0.4059499	0.4375134	0.5789959	0.2082258	0.5596778	0.5030762	0.7030211
17	800	0.1428594	0.2392966	0.5470181	0.3799123	0.6773695	0.0481383	0.6022398	0.4827359	0.0146432	0.4443651	0.00506	0.337228	0.0255457	0.0234159	0.0056581	0.0902195	0.3191035	0.5505727	0.0458455	0.0023798	0.0544125	0.1239664	0.2038569	0.3201077	0.1035693	0.591998	0.3598099	0.3638305	0.1934045	0.4303524	0.1478401	0.008859	0.1698133	0.092119	0.7969341	0.6641169	0.6163402	0.1026697	0.0480233	0.5975348	0.035239	0.5919634	0.7096815	0.5197355	0.6894451	0.5706173	0.4730781	0.5215033	0.3610374	0.203713	0.5600166	0.5648406	0.3186706	0.2527472	0.4619797	0.3305846	0.2983317	0.2976837	0.1058548	0.2457228	0.017742	0.3407539	0.7036966	0.479914	0.3882537	0.3585311	0.3783792	0.39606	0.5453323	0.0125268	0.1548156	0.0173322	0.0298214	0.0916155	0.2768133	0.5235815	0.0391871	0.1036305	0.1778842	0.0379946	0.3470026	0.1082972	0.5901168	0.1793788	0.5603106	0.1890848	0.1100166	0.0901058	0.1051437	0.5695353	0.5841271	0.3951287	0.6740705	0.3996547	0.4837018	0.5590638	0.2201164	0.5903082	0.4267997	0.7178206
18	850	0.1101486	0.2908946	0.4763289	0.3206691	0.6207681	0.0258459	0.5565227	0.3472597	0.0092563	0.5160648	0.0346085	0.376629	0.0375567	0.0245432	0.0054544	0.0787196	0.377365	0.5985092	0.0300332	0.0025323	0.0707517	0.1941892	0.1837112	0.2582942	0.1809446	0.6063741	0.4039158	0.3414783	0.191022	0.4595108	0.174844	0.037566	0.2075524	0.1615147	0.559752	0.5825064	0.571044	0.1033142	0.0403768	0.6767262	0.0586407	0.7334356	0.5193217	0.4926078	0.6595829	0.6255903	0.4799244	0.6002823	0.3277165	0.19357	0.6148001	0.6345267	0.3419337	0.2516189	0.4449555	0.2691504	0.2549013	0.2387518	0.1035406	0.2840262	0.021134	0.2913188	0.6635925	0.4500951	0.3685438	0.4186851	0.4360469	0.4759994	0.453362	0.0080378	0.1958146	0.0412033	0.0165875	0.0890581	0.332297	0.6845726	0.0601129	0.1242284	0.1866658	0.0454856	0.4466517	0.0914354	0.6195123	0.1447543	0.5095504	0.2060747	0.1460218	0.0643105	0.0709964	0.6010249	0.6060661	0.3558257	0.5953759	0.4500594	0.433543	0.6217373	0.2493214	0.5632829	0.4759511	0.6526911
19	900	0.1648048	0.2272299	0.4273464	0.3578236	0.5885099	0.0387068	0.5952207	0.4509117	0.0308614	0.4876791	0.0391269	0.3523207	0.0244443	0.0160668	0.0124591	0.0991331	0.413503	0.4564778	0.0495315	0.0054024	0.0321081	0.1537732	0.1838887	0.3014386	0.1531211	0.6035415	0.4794247	0.3887002	0.2087579	0.4476912	0.220018	0.0436493	0.1489216	0.0993133	0.6726832	0.6044596	0.6252265	0.137555	0.0824712	0.5925835	0.0554246	0.6260047	0.5957078	0.455967	0.5128885	0.609895	0.6615008	0.6260293	0.480814	0.1499599	0.6455507	0.5918652	0.3531414	0.2462044	0.4139553	0.2946426	0.269762	0.2747598	0.1003224	0.2612832	0.0143007	0.3078043	0.567964	0.5175203	0.3782232	0.4004245	0.3900862	0.3657034	0.5857274	0.0120507	0.201167	0.0198329	0.0125645	0.0608224	0.4196995	0.5447645	0.0296515	0.1081757	0.1467383	0.0290235	0.32129	0.1683312	0.6712359	0.2063267	0.5826696	0.1478213	0.1233853	0.156316	0.0581897	0.6056462	0.6864114	0.3898825	0.5907205	0.4571272	0.470529	0.7103654	0.2358229	0.5902497	0.4777912	0.6140709
20	950	0.1766425	0.2581951	0.5137428	0.3162981	0.6610255	0.0383293	0.6637952	0.4830001	0.0133833	0.5153913	0.0246265	0.3797599	0.0764904	0.0375664	0.0049057	0.1242664	0.3722241	0.3871494	0.0796653	0.0025026	0.0667014	0.2363975	0.1911039	0.2257624	0.140006	0.6183552	0.40664	0.3585854	0.1525299	0.4138534	0.1752287	0.0174645	0.1811698	0.1277164	0.5610585	0.6005255	0.5880527	0.0989757	0.0307238	0.6346416	0.0417708	0.5407721	0.6515309	0.442122	0.5908498	0.5600461	0.5384038	0.5847029	0.3924219	0.1295594	0.6442765	0.627553	0.3525458	0.2902411	0.5460649	0.2597649	0.1826564	0.2018134	0.1255715	0.2484115	0.0111636	0.2544345	0.58878	0.4413662	0.3914898	0.4274148	0.3700022	0.3782201	0.4378931	0.0164883	0.1751653	0.0209254	0.0491978	0.047505	0.4434768	0.7260008	0.0183584	0.1075448	0.1478222	0.0303643	0.3691968	0.0708047	0.6696833	0.1751133	0.6216987	0.1875518	0.1465855	0.0642496	0.0300389	0.6307302	0.5781105	0.4006733	0.5264852	0.3539395	0.3573723	0.566612	0.1914949	0.6662837	0.5041091	0.5538327
21	1000	0.1416131	0.2134308	0.4371801	0.3917808	0.6039484	0.0398468	0.565437	0.5095939	0.0044282	0.3620798	0.0204699	0.4249203	0.0189348	0.0188249	0.0084101	0.1344727	0.4494246	0.4516395	0.0585231	0.0065134	0.0674642	0.1170047	0.1493925	0.2370769	0.0952324	0.5984518	0.49721	0.362028	0.1846016	0.4715533	0.1733743	0.0187232	0.1926665	0.0973487	0.6146396	0.7305859	0.5987737	0.0652794	0.0592092	0.7765627	0.0491052	0.6205477	0.4918219	0.5055888	0.6088447	0.572809	0.687486	0.6120391	0.5369871	0.1517262	0.6703778	0.6221591	0.3470178	0.1893172	0.5323671	0.3619171	0.3231635	0.2250715	0.10341	0.2380074	0.0109614	0.2749964	0.6693961	0.4625119	0.3131172	0.3619384	0.2445763	0.3453733	0.4486552	0.036672	0.2224009	0.0125416	0.0407077	0.0634303	0.4457964	0.5983459	0.0265791	0.1015377	0.1546262	0.0313589	0.5386447	0.1350218	0.6402142	0.1479721	0.6036596	0.1621178	0.1321412	0.0485573	0.0379215	0.6787248	0.6204833	0.4933329	0.6155469	0.3558598	0.4576964	0.7169948	0.2760032	0.6026823	0.5039036	0.5746299
22	0	0.1289579	0.2671744	0.4857282	0.402103	0.6229727	0.0430577	0.5466834	0.5463538	0.0204264	0.4463156	0.0169557	0.3407942	0.0249258	0.0203759	0.0145835	0.1116373	0.3891436	0.5254732	0.0717255	0.0003648	0.0607408	0.1377299	0.2053087	0.1551584	0.1560824	0.5829721	0.4583257	0.3380569	0.2012709	0.4004827	0.2895251	0.0211388	0.1607426	0.0874962	0.512786	0.7579529	0.653239	0.1187705	0.0304124	0.5400173	0.0357297	0.7264485	0.5556625	0.4937599	0.582478	0.687706	0.5924609	0.6022419	0.3390523	0.1569024	0.6504829	0.7054446	0.3784661	0.2652049	0.3587241	0.3857118	0.2415333	0.2469141	0.0841965	0.2106112	0.0239045	0.3467139	0.5856579	0.4591535	0.3453949	0.461886	0.3689234	0.400191	0.3620489	0.0170195	0.1378888	0.0452567	0.0339506	0.0620289	0.3774655	0.5538234	0.0183072	0.075548	0.1578559	0.0185194	0.3334967	0.1357901	0.6439383	0.1533642	0.6154872	0.1823016	0.1627704	0.0747681	0.0389409	0.6578147	0.533393	0.3607005	0.6264961	0.4019669	0.388703	0.56915	0.2589388	0.5844286	0.5836561	0.679924
